id,text,cot
2017-En-20070__aggregate,@BigBossPeltonen \nLikewise #death #cutting #despair,"The hashtags ""#death,"" ""#cutting,"" and ""#despair"" directly indicate intensely negative emotional states. ""Despair"" explicitly signals sadness, while the other terms evoke feelings of fear and disgust related to self-harm and mortality. The overall tone expresses a deeply troubled and distressing mental state, justifying these assigned emotions."
2017-En-40709__aggregate,Well i did hear once before that girls are attracted to men that look like their dad!  👌 ,"The tweet expresses **surprise** at the stated ""fact"" about attraction, indicated by the initial ""Well i did hear once before."" There's a hint of **anticipation** as the author shares this potentially interesting (and perhaps testable) idea. Finally, the somewhat unusual and potentially unsettling nature of the claim carries a subtle undercurrent of **pessimism** about the complexities of attraction, and a slightly cynical tone contributes to this feeling, despite the seemingly neutral sharing of information and the use of a ""positive"" emoji."
2017-En-30290__aggregate,Kayaking is merriment together with sevylor inflatable kayaks: eYGgJxMl,"The tweet expresses positive feelings about kayaking with Sevylor inflatable kayaks, directly evoking **joy** through the word ""merriment.""  **Anticipation** is present as the tweet suggests enjoyment of a planned or ongoing activity. Finally, **surprise** and **trust** could stem from positive experiences with the product (Sevylor kayaks) exceeding expectations or reliably delivering enjoyment."
2017-En-20822__aggregate,Fosu-Mensa is having a nightmare 15 minutes. Difference between Premier League reserves and League 1 is still wide,"The tweet expresses **disgust** at the poor performance of Fosu-Mensa, framing it as a ""nightmare."" **Fear** is present regarding the player's ability to adapt to a higher league, highlighted by the stark difference in quality. Finally, **pessimism** colors the overall assessment, suggesting a negative outlook on the player's potential success and the gap between league levels."
2017-En-31224__aggregate,"Luke 1:14\nHe will be a joy and delight to you, and many will rejoice because of his birth","The text explicitly mentions ""joy"" and ""rejoice,"" directly indicating happiness and pleasure. Furthermore, the promise of a positive future for those awaiting the birth evokes feelings of ""optimism"" and hopeful expectation. The sentiment of delight and positive connection also aligns with the emotion of ""love,"" particularly in a familial or spiritual context."
2017-En-30774__aggregate,remember when glee did a take me or leave me cover but it was between two girls who werent even friends why did that do that,"The tweet expresses **anger** and **disgust** at a perceived misstep by the show *Glee* – a baffling and potentially harmful representation in their cover song choice. Simultaneously, there's a sense of **sadness** stemming from the realization of the lack of genuine connection between the characters involved, highlighting a disappointing narrative decision. The rhetorical question (""why did that do that"") strongly signals frustration and negative emotional reaction."
2017-En-10297__aggregate,"Because it was a perfect illusion, but at least now I know what it was. #angry #ladygaga #iscalming#mysoul","The tweet expresses disillusionment – something presented as “perfect” was ultimately revealed as false, fueling **anger** at the deception. This realization of a flawed reality also evokes a sense of **pessimism** about future expectations, and a feeling of **disgust** at having been fooled. The hashtags further confirm the author’s negative emotional state and attempt at emotional processing."
2017-En-31056__aggregate,#survivor is back! #SurvivorMillennialsVsGenX so happy to see you @JeffProbst #happy,"The tweet expresses excitement for the return of a beloved show (""#survivor is back!"") and happiness directed towards the host, clearly indicating **joy**. The positive sentiment and welcoming tone (""so happy"") also suggest **optimism** for the new season. Finally, expressing appreciation for a figure like Jeff Probst hints at **love** for the show and **trust** in its continued quality."
2017-En-10904__aggregate,#oow16 #sting decent new song,"The tweet expresses positive sentiment towards a new song by Sting, indicated by ""decent."" This naturally evokes **joy** and **optimism** about the artist's new work. Furthermore, sharing excitement about new music, especially within a concert hashtag (#oow16), suggests **anticipation** for more and a general **love** for the artist/music itself."
2017-En-30166__aggregate,@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears #laughter,"The tweet expresses positive emotions through hashtags like #smiles and #laughter, indicating **joy**. Offering a book about a boy and his greyhound, particularly framing it with emotional cues like #tears, suggests a heartwarming story evoking **love** and potentially empathetic **sadness** related to the narrative's emotional depth. The overall tone is caring and hopeful, fitting these classifications."
