id,text,cot
828__aggregate,"Marine Le Pen's father famously and openly spoke against the Jews living in France. Marine Le Pen herself has been caught speaking against jews and immigrants. You can't run a platform of exclusion and literal human removal without being at least in some form a fascist. That includes Trump who infamously ran on the campaign promise of removing 11 million people from their homes. Not a real fascist, but most definitely fascist like. ","The label ""equality"" is appropriate for this text because it highlights the author's concern with the exclusionary rhetoric of Marine Le Pen and Trump, which is perceived as a threat to the equal treatment and rights of marginalized groups, including Jews and immigrants. The author emphasizes the idea that these individuals' policies promote discrimination and removal, undermining the principle of equality. The text focuses on the moral implications of exclusion and discrimination, which is a key aspect of the equality moral foundation."
6572__aggregate,"Today Le Pen proved she's unprincipled and disloyal. If she did that to her own party, imagine what she would do to France.","The assigned moral foundations of authority and loyalty are appropriate for this text because the author is criticizing Le Pen for her actions, implying that she has overstepped her authority and betrayed the trust of her party, which is a fundamental aspect of loyalty. The author is also suggesting that Le Pen's disloyalty to her party is a reflection of her character, implying that she is untrustworthy and unprincipled. This criticism is rooted in the moral principles of authority and loyalty, which emphasize the importance of respect for hierarchy and commitment to one's group."
7718__aggregate,"You're either a troll or incredibly immature. You know fully well (from all the threads you've commented on) why OP is an AH. It's not about not wanting to help, it's about not being upfront and asking for help, but instead making it seem like a different situation.

There is a huge difference between ""hey, I need to do this thing and would appreciate if you could help me"" and what OP did here.","This text primarily focuses on a critique of the original poster's behavior and communication style, rather than addressing a moral issue. The author is expressing frustration and disappointment, but the tone is more argumentative and critical than moral. The text does not explicitly reference or appeal to any of the moral foundations (authority, care, equality, loyalty, proportionality, purity)."
11028__aggregate,"You should not feel good about it. 

You ARE a creep. 

Do not take pictures of people without their consent.","The assigned label of ""purity"" is appropriate for this text because it involves a moral concern for the protection of personal boundaries and the respect of individuals' autonomy, particularly in the context of privacy and consent. The text emphasizes the importance of not taking pictures of people without their consent, which is a key aspect of maintaining personal purity and dignity. This aligns with the moral foundation of purity, which values the protection of individuals from harm and the preservation of their moral integrity."
11571__aggregate,"Have you tried growing up and accepting that she’s an adult who can make her own decisions? She doesn’t need to tell you anything and you pestering her about your “feelings” does nothing but creep her out. And quite frankly, it creeps me out too. Leave her the fuck alone.","The assigned moral foundations of care, equality, and purity are appropriate for this text because:

- The text emphasizes respecting the autonomy and decision-making capacity of the adult individual, which aligns with the equality foundation, as it values the equal rights and dignity of all individuals.
- The text also prioritizes the well-being and comfort of the individual, particularly in avoiding actions that might ""creep her out,"" which relates to the care foundation, as it emphasizes empathy and concern for others' emotional and psychological well-being.
- The text's tone and language, particularly the use of the phrase ""Leave her the fuck alone,"" convey a sense of disgust and revulsion towards the behavior of pestering someone, which relates to the purity foundation, as it values moral and emotional purity, and rejects actions that are considered impure or tainted."
13633__aggregate,"So, illegal to stand on the sidewalk? They obviously didn't arrest him so you can't say he was disobeying cops, they used violence to exert their will.","The assigned label of ""authority"" is appropriate for this text because it involves a critique of the actions of law enforcement, implying a challenge to their authority and power. The mention of ""exert their will"" through violence also suggests a concern with the abuse of authority. The text's focus on the police's actions and their legitimacy reinforces the connection to the authority moral foundation."
14861__aggregate,"Not very helpful to a practical material analysis. 

Regardless of the philosophical particulars of freedom, we are animals with material needs that must be met. Freedom from these needs is impossible, but it is not impossible to freely have the needs met.","This text does not explicitly appeal to any of the moral foundations (authority, care, equality, loyalty, proportionality, purity) as it primarily focuses on a philosophical discussion about the nature of freedom and its relation to material needs, without making any value judgments or moral claims that align with these foundations. The text's tone is more analytical and neutral, aiming to clarify a concept rather than promote a particular moral stance. The absence of emotive language and explicit moral appeals further supports the lack of alignment with the given moral foundations."
15206__aggregate,"I don't think there's any merit at all, no. It's not creative, it's not productive, and it's not nourishing or meaningful in any way. It's vapid consumerism personified. Just because people derive entertainment from it doesn't mean it's good. There's a plethora of well made, passionately created content on YouTube that doesn't make its creators into multi-millionaires. The fact that someone like PewDiePie screaming slurs and acting like a petulant man child is entertaining to more people is not evidence of his merit, it's evidence of our societal rot.

And jealousy, really? I'm quite happy with what I have, thanks.","The label of proportionality is appropriate for this text because the author is criticizing the disproportionate influence and wealth of a YouTuber like PewDiePie, suggesting that their fame and wealth are not proportional to the value of their content. The author implies that the creator's behavior and content are not worthy of such a large following and financial reward. This criticism is rooted in the idea that the consequences of their actions and the attention they receive are not in proportion to their actual value or merit."
15720__aggregate,"3% return on a million dollars is still 30k a year.

So once you're at a million in the bank (or in the market), you can *do nothing* and make what the median worker in america is making a year from *labor*","This text does not explicitly express a moral judgment or value, but rather presents a factual comparison between investment returns and median worker income. The tone is informative and neutral, without any apparent appeal to authority, care, equality, loyalty, proportionality, or purity. The text's focus is on financial calculation rather than moral or ethical considerations."
17402__aggregate,That shirt i swear capitalists have some fucked up humiliation fetish,"This text does not explicitly reference any moral principles or values associated with the given foundations. The language used is primarily an expression of frustration and criticism towards capitalism, but it lacks any clear connection to the moral principles of authority, care, equality, loyalty, proportionality, or purity. The tone is more focused on a personal opinion and emotional reaction rather than a moral judgment."
